excluir;unidade;ano;mes;grau;score;predicao_obito;saidas;obitos_esperados;obitos_ocorridos
01/2019;HAC;2019,0;1,0;I;0 a 4;4,0;0,0;0,0;0,0
01/2019;HAC;2019,0;1,0;II;5 a 9;8,0;2,0;0,16;0,0
01/2019;HAC;2019,0;1,0;III;10 a 14;15,0;9,0;1,35;2,0
01/2019;HAC;2019,0;1,0;IV;15 a 19;25,0;10,0;2,5;3,0
01/2019;HAC;2019,0;1,0;V;20 a 24;40,0;4,0;1,6;2,0
01/2019;HAC;2019,0;1,0;VI;25 a 29;55,0;1,0;0,55;1,0
01/2019;HAC;2019,0;1,0;VII;30 a 34;75,0;1,0;0,75;1,0
01/2019;HAC;2019,0;1,0;VIII;> 34;85,0;0,0;0,0;0,0
01/2019;HEM;2019,0;1,0;I;0 a 4;4,0;0,0;0,0;0,0
01/2019;HEM;2019,0;1,0;II;5 a 9;8,0;0,0;0,0;0,0
01/2019;HEM;2019,0;1,0;III;10 a 14;15,0;7,0;1,05;0,0
01/2019;HEM;2019,0;1,0;IV;15 a 19;25,0;5,0;1,25;2,0
01/2019;HEM;2019,0;1,0;V;20 a 24;40,0;5,0;2,0;0,0
01/2019;HEM;2019,0;1,0;VI;25 a 29;55,0;7,0;3,85;2,0
01/2019;HEM;2019,0;1,0;VII;30 a 34;75,0;1,0;0,75;1,0
01/2019;HEM;2019,0;1,0;VIII;> 34;85,0;4,0;3,4;4,0
01/2019;HJK;2019,0;1,0;I;0 a 4;4,0;112,0;4,5;8,0
01/2019;HJK;2019,0;1,0;II;5 a 9;8,0;222,0;17,78;23,0
01/2019;HJK;2019,0;1,0;III;10 a 14;15,0;273,0;41,1;16,0
01/2019;HJK;2019,0;1,0;IV;15 a 19;25,0;275,0;68,85;36,0
01/2019;HJK;2019,0;1,0;V;20 a 24;40,0;167,0;66,8;35,0
01/2019;HJK;2019,0;1,0;VI;25 a 29;55,0;77,0;42,45;27,0
01/2019;HJK;2019,0;1,0;VII;30 a 34;75,0;43,0;32,35;20,0
01/2019;HJK;2019,0;1,0;VIII;> 34;85,0;23,0;19,65;18,0
01/2019;HJXXIII;2019,0;1,0;I;0 a 4;4,0;6,0;0,24;0,0
01/2019;HJXXIII;2019,0;1,0;II;5 a 9;8,0;11,0;0,88;1,0
01/2019;HJXXIII;2019,0;1,0;III;10 a 14;15,0;26,0;3,9;1,0
01/2019;HJXXIII;2019,0;1,0;IV;15 a 19;25,0;30,0;7,5;7,0
01/2019;HJXXIII;2019,0;1,0;V;20 a 24;40,0;28,0;11,2;7,0
01/2019;HJXXIII;2019,0;1,0;VI;25 a 29;55,0;26,0;14,3;1,0
01/2019;HJXXIII;2019,0;1,0;VII;30 a 34;75,0;1,0;0,75;0,0
01/2019;HJXXIII;2019,0;1,0;VIII;> 34;85,0;1,0;0,85;0,0
01/2019;HRAD;2019,0;1,0;I;0 a 4;4,0;3,0;0,12;0,0
01/2019;HRAD;2019,0;1,0;II;5 a 9;8,0;16,0;1,28;0,0
01/2019;HRAD;2019,0;1,0;III;10 a 14;15,0;16,0;2,4;1,0
01/2019;HRAD;2019,0;1,0;IV;15 a 19;25,0;14,0;3,5;3,0
01/2019;HRAD;2019,0;1,0;V;20 a 24;40,0;13,0;5,2;6,0
