unidade;ano;mes;grau;escore;predicao_obito;saidas;obitos_ocorridos;obitos_esperados
MOV;2022;7;VI;25 a 29;0,55;3;1;1,65
MOV;2022;7;VIII;> 34;0,85;2;1;1,7
MOV;2022;8;VI;25 a 29;0,55;2;1;1,1
MOV;2022;8;VII;30 a 34;0,75;1;1;0,75
MOV;2023;4;IV;15 a 19;0,25;9;1;2,25
MOV;2023;4;VI;25 a 29;0,55;3;1;1,65
MOV;2023;11;I;0 a 4;0,04;1;1;0,04
MOV;2023;12;VII;30 a 34;0,75;1;1;0,75
MOV;2024;1;VI;25 a 29;0,55;1;1;0,55
MOV;2024;2;VI;25 a 29;0,55;2;1;1,1
MOV;2024;7;VI;25 a 29;0,55;3;1;1,65
MOV;2024;7;VIII;> 34;0,85;1;1;0,85
MOV;2024;10;V;20 a 24;0,4;2;1;0,8
MOV;2024;10;VI;25 a 29;0,55;2;1;1,1
MOV;2024;11;V;20 a 24;0,4;2;1;0,8
MOV;2024;11;VI;25 a 29;0,55;1;1;0,55
MOV;2025;1;VII;30 a 34;0,75;1;1;0,75
MOV;2025;3;IV;15 a 19;0,25;7;1;1,75
MOV;2025;4;IV;15 a 19;0,25;8;1;2,0
MOV;2025;4;VIII;> 34;0,85;1;1;0,85
MOV;2025;5;VI;25 a 29;0,55;3;1;1,65
MOV;2025;5;VII;30 a 34;0,75;1;1;0,75
MOV;2025;12;IV;15 a 19;0,25;11;1;2,75
HRJP;2019;1;II;5 a 9;0,08;6;1;0,48
HRJP;2019;1;III;10 a 14;0,15;15;3;2,25
HRJP;2019;1;IV;15 a 19;0,25;13;2;3,25
HRJP;2019;2;III;10 a 14;0,15;12;1;1,8
HRJP;2019;2;IV;15 a 19;0,25;14;5;3,5
HRJP;2019;3;III;10 a 14;0,15;15;1;2,25
HRJP;2019;3;IV;15 a 19;0,25;13;2;3,25
HRJP;2019;3;V;20 a 24;0,4;1;1;0,4
HRJP;2019;4;III;10 a 14;0,15;18;2;2,7
HRJP;2019;4;IV;15 a 19;0,25;11;4;2,75
HRJP;2019;4;V;20 a 24;0,4;1;1;0,4
HRJP;2019;5;IV;15 a 19;0,25;11;1;2,75
